Country,Bronze,Silver,Gold,TeamSize,M2012,F2012,GDP2011,Population (in thousands) total,Population in urban areas (%),Population living below the poverty line (% living on &lt; US$1 per day),Population median age (years),Population proportion over 60 (%),Population proportion under 15 (%),Population above 15 and under 60(in thousands),Life expectancy at birth (years) both sexes,Life expectancy at birth (years) female,Life expectancy at birth (years) male,Literacy_rate_youth_female,Literacy_rate_youth_male,Literacy_rate_youth_total
Maldives,0,0,0,5,3,2,"2,050,135,788.00",300,30,,22,6,33,183,72,73,72,98.3,98.03,98.17
Mali,0,0,0,6,4,2,"10,589,925,352.00",11968,31,36.1,16,5,48,5625,46,48,45,16.86,32.25,24.19
Malta,0,0,0,5,3,2,"8,886,572,143.00",405,96,,38,19,17,259,79,81,77,97.81,94.37,96.03
Marshall Islands,0,0,0,4,2,2,"173,700,000.00",58,66,,,6,32,36,63,64,61,,,
Mauritania,0,0,0,2,1,1,"4,075,675,053.00",3044,41,25.9,20,5,40,1674,58,60,55,55.48,67.73,61.34
Mauritius,0,0,0,11,4,7,"11,313,454,891.00",1252,42,,31,10,24,826,73,76,69,95.36,93.72,94.54
Mexico,3,3,1,106,68,38,"1,155,320,000,000.00",105342,76,3,26,9,30,64259,74,77,72,97.63,97.64,97.64
Micronesia (Federated States of),,,,,,,,111,22,,20,5,38,63,69,70,67,,,
Moldova,2,0,0,22,12,10,"7,000,318,677.00",3833,47,2,33,15,19,2530,68,72,64,99.7,99.7,99.7
Monaco,0,0,0,6,5,1,"5,424,000,000.00",33,100,,,21,18,20,82,85,78,,,
Mongolia,3,2,0,29,16,13,"8,557,529,910.00",2605,57,10.8,25,6,28,1719,66,70,62,98.43,97,97.71
Montenegro,0,1,0,34,18,16,"4,550,463,278.00",601,61,,35,18,19,379,74,76,72,,,
Morocco,1,0,0,72,54,18,"100,221,000,000.00",30853,59,,25,8,30,19129,72,74,70,60.49,80.8,70.46
Mozambique,0,0,0,6,4,2,"12,797,754,231.00",20971,35,36.2,18,5,44,10695,50,51,49,36.55,59.45,46.97
Myanmar,,,,,,,,48379,31,,27,8,27,31446,60,63,57,93.42,95.7,94.52
Namibia,0,0,0,9,5,4,"12,300,698,895.00",2047,36,,20,5,38,1167,61,63,59,93.48,91.15,92.34
Nauru,0,0,0,2,2,0,"63,000,000.00",10,100,,,6,32,6,61,64,59,,,
Nepal,0,0,0,5,2,3,"18,884,495,628.00",27641,16,24.1,20,6,38,15479,62,63,62,60.14,80.62,70.05
Netherlands,8,6,6,182,98,84,"836,257,000,000.00",16379,81,,39,20,18,10155,80,82,78,,,
Netherlands Antilles,,,,,,,,,,,,,,0,,,,73.55,73.45,73.5
New Caledonia,,,,,,,,,,,,,,0,,,,99.14,99.05,99.09
New Zealand,5,2,6,196,103,93,"141,406,000,000.00",4140,86,,36,17,21,2567,80,82,78,,,
Nicaragua,0,0,0,6,3,3,"7,297,481,501.00",5532,59,45.1,21,6,37,3153,71,74,68,88.82,83.63,86.22
Niger,0,0,0,6,4,2,"6,016,960,988.00",13737,17,,16,5,48,6456,42,43,42,23.2,52.45,36.55
Nigeria,0,0,0,53,30,23,"235,923,000,000.00",144720,49,70.8,18,5,44,73807,48,49,48,81.34,86.96,84.2
Niue,,,,,,,,2,33,,,8,34,1,70,78,64,,,
Norway,1,1,2,65,33,32,"485,803,000,000.00",4669,77,,38,20,19,2848,80,83,78,,,
Oman,0,0,0,4,3,1,"71,781,535,039.00",2546,71,,23,4,33,1604,74,77,72,96.66,97.87,97.28
Pakistan,0,0,0,23,21,2,"211,092,000,000.00",160943,35,17,21,6,36,93347,63,63,62,53.09,76.65,65.09
Palau,0,0,0,5,2,3,"179,912,815.90",20,70,,,6,32,12,69,71,68,,,
Panama,0,0,0,8,6,2,"30,676,800,000.00",3288,72,7.4,26,9,30,2006,76,79,74,95.62,96.53,96.08
